1.127400375050144940e-08,4.186998167387498878e-08,8.699580781093684495e-08,1.417465771008908681e-07,2.010982684885718709e-07,2.600551524186695431e-07,3.138799964294988433e-07,3.583582165310161526e-07,3.900573654080887848e-07,4.065506178920109913e-07,4.065799191379373062e-07,3.901420178393002073e-07,3.584887967227456879e-07,3.140418873036862339e-07,2.602301328551625021e-07,2.012666601844977345e-07,1.418898891036833208e-07,8.709983034265472260e-08,4.192831744273284054e-08,1.129210742686514277e-08
4.187244680820720281e-08,1.552240878361906464e-07,3.220551581991426059e-07,5.241637665415215628e-07,7.430246380636431257e-07,9.602708622789494551e-07,1.158507555842450698e-06,1.322266246953054773e-06,1.438950801098931593e-06,1.499655516336939128e-06,1.499763589516516006e-06,1.439263019938324813e-06,1.322747831082901050e-06,1.159104562075979148e-06,9.609160596651149422e-07,7.436454399832130188e-07,5.246919959706394124e-07,3.224384619615521688e-07,1.554389517598938776e-07,4.193907289809180115e-08
8.700570991104872773e-08,3.220730080248928465e-07,6.674257556735061728e-07,1.085229574715077205e-06,1.537207774032147346e-06,1.985528393094155613e-06,2.394413943970921436e-06,2.732069242258419676e-06,2.972609369931341658e-06,3.097734486278210889e-06,3.097957807252953440e-06,2.973254522596885448e-06,2.733064323224914354e-06,2.395647438824567422e-06,1.986861329700557441e-06,1.538490130348177078e-06,1.086320477564649460e-06,6.682170904980983231e-07,3.225163412890622955e-07,8.714303350376464185e-08
1.417700155465548448e-07,5.242201811857644234e-07,1.085286513451726591e-06,1.763259580492208132e-06,2.496029104301858001e-06,3.222387739319008644e-06,3.884540494752444321e-06,4.431163108241053328e-06,4.820485350630141963e-06,5.022980726982130239e-06,5.023343019845978524e-06,4.821531959257465738e-06,4.432777326123418901e-06,3.886541327180837791e-06,3.224549638319638116e-06,2.498108617144411580e-06,1.765028164302944861e-06,1.086568902988055418e-06,5.249381347630859420e-07,1.419921517482484018e-07
2.011413120479422314e-07,7.431413083318140953e-07,1.537364944750471388e-06,2.496153725541911438e-06,3.531648196700946144e-06,4.557492292237710034e-06,5.492263441557346583e-06,6.263710129726922466e-06,6.813052351922359259e-06,7.098746732331484662e-06,7.099258964536264769e-06,6.814532078840472084e-06,6.265992248954078069e-06,5.495091910663271479e-06,4.560548063562237778e-06,3.534586949234138956e-06,2.498652343369254193e-06,1.539175870927335637e-06,7.441544758781892908e-07,2.014544605308086279e-07
2.601228853772154416e-07,9.604668416898186023e-07,1.985825673477470317e-06,3.222702337360946553e-06,4.557710079769160373e-06,5.879644792451961810e-06,7.083791063540724793e-06,8.077294736134641931e-06,8.784642942080366331e-06,9.152475992873397042e-06,9.153136614377918701e-06,8.786551286225640657e-06,8.080237738654892461e-06,7.087438315576042832e-06,5.883584617555400648e-06,4.561498277123277883e-06,3.225922239054571573e-06,1.988158372969171347e-06,9.617711237390290594e-07,2.605256537938958953e-07
3.139757752666519900e-07,1.158796409728093028e-06,2.394881697876970192e-06,3.885097905297326986e-06,5.492778493628529755e-06,7.084117188276804179e-06,8.533249755331295821e-06,9.728637978952285928e-06,1.057960528036897601e-05,1.102208812301179759e-05,1.102288381660380459e-05,1.058190375346631432e-05,9.732182448785421926e-06,8.537642036191929855e-06,7.088861207624765151e-06,5.497339098366883878e-06,3.888973326181339130e-06,2.397688263208719742e-06,1.160364840281380616e-06,3.144597732557276594e-07
3.584831516992673744e-07,1.322654009537576434e-06,2.732723833480260543e-06,4.431995958886038851e-06,6.264576817286808101e-06,8.078027298212901009e-06,9.729072652959853558e-06,1.109080779277643791e-05,1.206009210516937568e-05,1.256406698583900869e-05,1.256497403419355255e-05,1.206271218817885047e-05,1.109484804107800681e-05,9.734078944575869289e-06,8.083433929072329964e-06,6.269773632888666045e-06,4.436411078578881955e-06,2.735920324446738690e-06,1.324439650921341474e-06,3.590338926257611435e-07
3.902100412824625002e-07,1.439434784384632906e-06,2.973450375982451993e-06,4.821601024606605224e-06,6.814292112208794785e-06,8.785823256225966678e-06,1.058054029616803548e-05,1.206061924726479545e-05,1.311406715627924581e-05,1.366178058067110301e-05,1.366276684123827055e-05,1.311691600750028887e-05,1.206501212502251704e-05,1.058598325556692665e-05,8.791701032402427440e-06,6.819941190320598838e-06,4.826399678428799381e-06,2.976923857334960734e-06,1.441374653594862914e-06,3.908081472788760077e-07
4.067270565719423260e-07,1.500223992848812826e-06,3.098743662909591269e-06,5.024359074399123727e-06,7.100343989806738560e-06,9.154100055886460677e-06,1.102353741387926306e-05,1.256515795125825275e-05,1.366236975049096106e-05,1.423282560508463886e-05,1.423385300360659596e-05,1.366533740691242623e-05,1.256973394918545736e-05,1.102920711632155423e-05,9.160222450232268185e-06,7.106227847021541469e-06,5.029356791151957854e-06,3.102360875299233651e-06,1.502243869664366047e-06,4.073497264140634437e-07
